Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,META,MSFT,NVDA,TSLA,TSM,MCD,BA
2020-07-13,101.55594733627555,101.18056630232722,97.95560072624345,101.53307536108365,101.20105849598957,100.06048580294471,99.8662533538768,100.75175728346733,101.52553580479324,101.88874424623157,99.02209059956398,98.93792137150744
2020-07-14,101.58971524340119,100.65720435803564,98.21211963708207,102.52284719709257,100.69064260381217,99.68616366940604,99.30429325575888,101.18448990796196,101.3176858891051,101.8666388197042,100.72860084960321,99.3273042468167
2020-07-15,101.24314393770987,99.85016188636672,97.68089060010739,101.73560241158182,100.03771564636479,99.49256567824892,98.58305822825807,100.3497418944528,101.21681198383848,101.18952343530788,100.4025168401184,100.33717575423314
2020-07-16,100.5365668236564,99.79415743544436,97.94765860107346,101.84845218534619,100.14135890418663,99.82800260759382,97.90305746096409,100.084466516903,100.89738218420932,101.25048959000124,100.49163233300669,99.10782630069578
2020-07-17,100.15304556922938,99.37140839510542,98.36100670628969,101.35033339192589,100.03294435282534,99.95973226356305,97.93761075570967,100.15167632376522,100.76820205301946,100.98672548645729,100.48389346049694,98.72275172212484
2020-07-20,100.90364160987582,100.90769342039626,98.83353527558891,100.64998446842384,101.15854005728158,100.07853912675459,99.61369088057971,100.78764082086201,101.34733995726936,100.84275689001925,99.68686510189205,98.54521736974733
2020-07-21,99.77312723292326,100.27343689996759,98.49859808112745,101.04704132418642,100.6424136952896,98.87782285503154,98.93987292009876,99.97554455958151,100.80834787270562,100.98009524006602,100.47470786429672,98.98826108661179
2020-07-22,99.50455429296197,99.57095038136957,98.36649608251956,100.54197747835201,100.56150970506445,98.00660428527748,99.40593361245995,100.07317511226618,100.83696994218232,100.99160257080759,102.58171628306089,99.12307095594431
2020-07-23,97.56078365827828,98.74714627385293,98.56848443072681,101.48660744410466,98.64318457745203,97.68145513147252,98.27539679134709,99.18594544907933,100.22259625021954,100.81849015524683,102.3917593154235,99.02919934004593
2020-07-24,97.97070467386324,99.1439098760819,98.50382542653595,101.88778285320544,98.72222793406874,98.04030762954498,98.53752681603754,99.6352019376801,98.88529570293406,102.94964062591505,102.41437608618507,98.85647158667479
2020-07-27,98.91590196655685,99.46664304072286,99.31739155035058,100.64339633593798,99.37489390213032,98.50867993143444,98.89775820507496,100.29994926386632,100.37782750222429,103.20161407203945,102.11161886594115,98.0178960954795
2020-07-28,98.54891520780251,99.14504312739822,98.94870976491956,101.40893233115891,98.5330785149806,98.46340199756666,98.9553939024164,99.45336465745505,99.4613507341953,101.66569403248896,101.00036466058184,98.62192767091466
2020-07-29,99.02634016950537,99.20694114325738,98.74197214156051,101.2290887836603,98.76641498323478,98.70187002323117,98.99766601785961,100.18119929387612,99.3308804028072,102.05158469582003,100.29916089501914,97.77798197074212
2020-07-30,99.91602410263373,99.63737856778202,99.5375604700749,100.7464193892157,100.052228150546,99.13394592474623,99.16767218388503,101.64132829957158,99.06597587467046,101.39809888764461,100.19520666502889,97.83324282807833
2020-07-31,102.98407327326218,101.0382984820624,100.23388590434864,100.67496284133588,97.27427870331343,102.08101357957788,99.10074119232777,101.30089195719047,98.10109934242101,100.99289246485576,99.33682110736174,97.7774467619556
2020-08-03,102.5388992366887,100.03655795743491,101.02389191019734,101.48908254273687,97.49489297330054,101.41490104932679,101.95079909787648,102.57806768614196,99.03514577568804,100.79824949866368,98.89293878866063,98.45242553419361
2020-08-04,102.06340768665228,100.38232816549503,102.51549689544852,101.38568980756352,97.71965351948921,100.88924127380018,100.89727378449435,102.54632278798516,99.09372849827648,100.83109179194342,100.1611430712862,98.86734290485961
2020-08-05,101.67233531497274,101.05652529088484,101.88136464518477,101.89007115904052,98.08888983000224,100.50663476970611,100.43195325838039,101.96926138309796,99.03236651184828,100.85302830206379,99.70070649923767,99.9199953615942
2020-08-06,101.82753362424451,100.91712399736075,101.15077884097141,101.60815701785558,98.72113762666082,102.16700504345673,100.93256431248103,101.58631381563167,99.06062557378506,100.49668510320774,100.43907524908005,99.59537504083882
2020-08-07,101.21175309703158,99.77453689720795,100.35590792265211,102.35057603189888,98.73157108887725,102.03145673014463,99.73910102938613,100.96098567924386,98.65224843693139,100.30745042886838,100.73783839641538,99.37530136886598
2020-08-10,101.23099290348772,99.32336095352125,100.48351226397324,102.36797900786738,98.76215273825713,101.22896158964326,98.54669605758734,100.66250441896685,98.16293728078776,100.12581972088269,100.30169898181828,100.670318604975
2020-08-11,100.76165012791432,98.558092251405,100.28376433796807,102.1839195241913,98.81486935082759,100.66481745283545,98.08966994236091,99.82984157140785,98.00749810090953,99.71704112271475,101.04996892129437,101.0428974473505
2020-08-12,100.93463061769158,99.48504620198956,101.23086817894576,101.47053340903987,99.07555584737885,100.59852261975921,98.9772824565645,101.17374332730267,100.74378425320344,99.59475245963438,100.3539536910722,100.07818012431196
2020-08-13,101.11121073990704,99.49658390175212,100.37923117245667,101.12757807350506,99.49755916811728,100.68660907688997,99.03155382082636,101.14380495840514,101.808498602059,98.79496812273281,100.65805080756807,100.13222712782184
2020-08-14,100.97898560216181,99.21536320904846,99.92199391762341,100.80937169124653,99.28842779829337,100.58220584503917,99.14630208607576,101.4163528504588,101.8608068236127,98.77994410418648,100.93388468905869,100.82595572108549
2020-08-17,100.77633700925158,99.84508291898612,100.2561690879778,99.70304933197555,99.60757281762523,100.39702073925433,99.39227552213384,102.75710223387,102.87915234019984,99.54108369420331,101.45697081509574,99.66796805774814
2020-08-18,100.81705068364259,102.13354607065955,99.53243506752388,99.88467924443486,100.87970769426511,100.35489472549462,99.58774220617137,102.03738411675235,102.39923741781077,99.11051578515516,101.64967233892718,99.36072580427492
2020-08-19,100.94614480873194,101.19892189504286,99.88205404173654,99.768661431676,100.90625529968098,100.4437687825073,99.52524868892652,101.60396027558913,101.91751137197224,98.82574319141526,101.43891449939053,99.36328438314
2020-08-20,102.076055854038,101.46460589422435,99.2120829961068,99.23617240169382,102.5282679290017,101.46184775018449,100.47895276053144,101.31419661666604,102.07289854863346,97.9003522285989,101.16611320482424,99.30688775848053
2020-08-21,102.95277036337703,101.02851421753189,99.18388245851864,99.25598251261259,101.88464423757551,100.75103504401746,99.93257584078019,102.02817208872776,101.85497508715181,98.86738808951685,101.32479308216475,98.65496500839186
2020-08-24,102.26851695547712,100.7490548955862,99.4721800891231,100.03751697982993,101.39706245259079,100.97405531531734,99.71201277878146,101.54800790667798,101.36084975466098,98.89073476395978,100.93918049539268,100.42018765238332
2020-08-25,101.58713504483164,101.09314698990866,100.00774683554494,99.92857728704837,101.65187220800624,102.19742735852192,100.42870192111118,101.30604767550888,101.18853783540699,99.50806978099858,100.52852006097046,99.44600393876341
2020-08-26,101.44745108073035,101.7997708859575,100.2838898006341,99.60188625412275,101.95419437696867,103.25154195495942,101.26392456107577,100.97110952012711,101.41633991205006,100.30799027737619,99.86033692102342,98.63909317906952
2020-08-27,100.93094135715256,101.00782531424524,99.68499438912883,100.13729259007378,101.19348907418048,101.67839687475558,102.58671348085853,100.57697896194223,101.49375777793482,99.33097135014735,98.6484378581957,99.15838703214678
2020-08-28,100.59847629924201,100.61789294177991,101.74054575116328,100.22928419034874,101.04168699565201,101.34976862665138,102.21264398943114,101.20088654176472,101.17820736775916,98.78782731229718,99.38385580468393,99.2868693512536
